lib2268	lib2269	lib2366	lib2367	lib2368	lib2372	lib2373	lib2377	lib2378
ENSG00000000003	0	0	0	0	0	0	0	0	0
ENSG00000000005	0	0	0	0	0	0	0	0	0
ENSG00000000419	7.75448532178373	18.5400321089836	7.71654268285957	5.49955641251843	9.60447834501497	10.0764832447171	12.1536771925464	10.861979986151	0
ENSG00000000457	5.35255960124949	0.611636597765387	14.2452644408724	6.39711012969503	12.7140524150146	0.0918894759234537	1.97569775030427	2.39977383562387	0.391005515169652
ENSG00000000460	2.51066345268945	0	0.721160326550417	1.01524693951222	0.172511712396707	0	0	3.11714102663836	0.608130549058981
ENSG00000000938	0	0	0.694488841457361	0.35197161040118	0	0	0	0	0
ENSG00000000971	0	1.626332014012	9.91740664356304	5.56336034504707	10.6757253946521	9.10460646159822	0	3.1000618167775	14.9385235645351
ENSG00000001036	0.989135697098404	16.0500419491205	4.59850723728707	4.55978027046562	4.51967915717195	0.815082137247399	0	10.8479692442026	0
ENSG00000001084	0.210321894798519	0.721004030334048	0.701457870954507	2.82786923815469	4.11869309022425	8.31900189348011	0.0698692350602784	0	1.03707372161479
ENSG00000001167	6.75934997446943	8.04912134161541	38.6152437695174	43.7328825881208	40.8712284010438	40.2354798823186	0	3.97522570685447	43.9716803533854
ENSG00000001460	0.255615203262277	0	1.44669797986654	0.720103464791445	1.00113264236342	0	0	0.211574523928544	0
ENSG00000001461	14.2244816521302	15.9923871673147	40.389209784049	32.631071347738	54.3028776464326	6.41625297204897	0	11.8853038505467	14.5375666413699
ENSG00000001497	11.8942875914857	29.2776299484398	17.0265049784512	6.89133275867566	16.9283227972442	14.9429742717326	20.5985771722347	7.38373990236314	0.12819541151616
ENSG00000001561	0	5.67266314366969	26.3401057048116	19.865093040273	18.2276743255163	0.213058720352295	32.7536788767709	17.9766925859029	81.3674826777382
ENSG00000001617	0	0	0	0	0	0	0	0	0
ENSG00000001626	1.0320474800441	0	1.50198410613847	4.22897575147315	3.32348581248716	0	0.274278122287349	0	0
ENSG00000001629	0.539965493840834	0	20.300751470677	2.48916707057507	13.0916686889644	18.2111802844682	0.512506603946918	1.91542836105424	30.7329657727227
ENSG00000001630	1.99639323283095	0.391076074368667	1.03765675351153	1.09560711170769	0.744666352978172	1.05756254894186	1.51589644534196	2.47864334213905	3.56258742601392
ENSG00000001631	0	0	4.03372290458532	2.19034057119269	1.46618224875438	0	0	0	0
ENSG00000002016	3.03098103023915	0	1.83796668816693	0.0776244887463219	1.25305246522404	0.249763354343674	0	0	0
ENSG00000002079	0	0	0	0	0.105826952387343	0	0	0	0
ENSG00000002330	0.391835035434143	0	3.56409229486916	0	2.81351763201833	1.93731399483583	0	0	0
ENSG00000002549	21.1305873088628	21.8761915659724	10.6351612252696	11.5267455435811	12.6897505848966	14.7569557517809	3.79059015920265	21.1190996309061	23.7559038720944
ENSG00000002586	20.8024516416713	34.3099534292607	32.9916854824056	36.6597177227866	35.3244260559994	26.791776473493	21.4567013596464	26.3693418221717	29.0747472459449
ENSG00000002587	0	0	0	0	1.44995875194295	0	0	0	0
ENSG00000002726	0	0	0	0	0	0	0	0	0
ENSG00000002745	0	0	0	0	0	0	0	0	0
ENSG00000002746	0	0	0	0	0	0	0	0	0
ENSG00000002822	0	0	2.58209678054052	2.32175224885555	3.40716912929077	0	0	2.98443692056578	4.69595178468808
ENSG00000002834	14.8212425335812	27.6368367908309	23.0815409072594	17.6848480716279	25.0663142308054	32.3372707629603	0.746005761179317	13.8011039824036	37.5744252289053
ENSG00000002919	0	0	7.81015320065164	12.0160799780403	5.40472124786735	11.290173693593	0	5.54786554523647	0
ENSG00000002933	0	0	0	0	0	0	0	0	0
ENSG00000003056	23.3494912988035	36.3730899582985	25.923419009748	25.1946698311584	27.1211169616467	31.4077618668084	30.7987987236639	31.2279942083519	30.5894512764954
ENSG00000003096	0	0	0	0	0	0	0	0	0
ENSG00000003137	0	0	0	0	0	0	0	0	0
ENSG00000003147	0	0	1.6061035630991	1.60654751748061	3.18483738209691	5.59996931345019	0	0	0
ENSG00000003249	0	0	0	0	0	0	0	0	0
ENSG00000003393	16.1949686391176	0.05969670622049	6.65261100369691	4.61586445353706	4.26267401212661	3.55154945162436	0	0	0.0572441416724074
ENSG00000003400	16.4886922556947	0.0575316540218925	2.49329780845588	2.44987566377208	3.72465679398868	0.0518597502804336	0	0	8.66138195608588
